태그,질문,기술 분야,기술 키워드,세부 기술 키워드
BE,"React Query를 사용할 때, 설치형으로 사용하셨나요 아니면 AWS 서비스 형태로 사용하셨나요? 각각의 선택에 따른 이유가 무엇인가요?",BE,React Query,
BE,"인프라를 구성할 때, 시스템의 고가용성을 보장하기 위해 고려해야 할 사항들은 무엇인가요?",BE,Architecture,high availability
BE,"RabbitMQ, Kafka를 비교 두 메시지 큐 시스템 간 차이",BE,message queue,
,,,Basic,
,,,Basic,
BE,"ElastiCache를 구성할 때 클러스터 모드, 노드 대수 등 어떤 설정을 사용했는지 설명해 주실 수 있나요?",BE,cache,ElasticCashe
BE,"EC2 서버나 애플리케이션에 대한 모니터링 도구를 구축한 경험이 있나요? 어떤 도구를 사용했고, 어떻게 모니터링을 설정했는지 설명해 주세요.",BE,monitoring,
BE,"애플리케이션에서 메트릭을 수집한 경험이 있나요? 어떤 메트릭을 수집했고, 이를 통해 무엇을 모니터링했는지 설명해 주세요.",BE,monitoring,
BE,"애플리케이션이 느려질 경우, 어떤 부분을 가장 먼저 확인해야 하나요? 성능 저하의 원인을 파악하기 위한 주요 진단 항목에 대해 설명해 주세요.",BE,monitoring,
BE,트랜잭션의 응답 시간이 길어졌는지에 대해서는 어떻게 확인을 할 수 있을까요?,BE,monitoring,
BE,MSA(마이크로서비스 아키텍처)에 대해 알고 계신가요? MSA의 개념과 주요 특징에 대해 설명해 주세요.,BE,Architecture,MSA
BE,프론트엔드 개발에서 가장 자신 있게 다룰 수 있는 프레임워크나 도구는 무엇인가요? 그 이유와 함께 설명해 주세요.,FE,Basic,
BE,DOM 객체에는 어떤 정보들이 저장되어 있나요? DOM이 브라우저에서 어떻게 구조화되어 있는지 설명해 주세요.,FE,Basic,
BE,React에서 라이브러리 없이 순수하게 상태 관리를 하는 방법에 대해 설명해 주세요. React의 내장 기능을 사용한 상태 관리에 대해 아는 대로 설명해 주세요.,FE,React,
BE,클래스형 컴포넌트와 함수형 컴포넌트의 차이점은 무엇인가요? 각각의 특징과 차이에 대해 설명해 주세요.,FE,React,
BE,React에서 퓨어 컴포넌트(PureComponent)에 대해 설명해 주세요. 퓨어 컴포넌트의 특징과 일반 컴포넌트와의 차이점은 무엇인가요?,FE,React,
BE,"React에서 useState, useEffect 외에 다른 훅(Hook)들에 대해 설명해 주세요. 각 훅의 역할과 사용 사례에 대해 설명해 주실 수 있나요?",FE,React,
BE,"React에서 useCallback과 useMemo는 언제, 왜 사용하나요? 각각의 역할과 차이점에 대해 설명해 주세요.",FE,React,
BE,TanStack Query를 사용하는 주된 이유는 무엇인가요?,FE,state management,
BE,TanStack Query의 주요 특징과 사용 사례는 무엇인가요?,FE,state management,
BE,Recoil이란 무엇인가요?,FE,state management,Recoil
BE,Recoil을 사용하여 상태 관리를 어떻게 구현할 수 있나요?,FE,state management,Recoil
BE,Zustand를 사용하여 상태 관리를 어떻게 구현할 수 있나요?,FE,state management,Zustand
BE,Zustand의 주요 특징과 사용 사례는 무엇인가요?,FE,state management,Zustand
BE,Redux의 주요 특징과 장점은 무엇인가요?,FE,state management,Redux
BE,Redux의 상태 관리 패턴과 구조는 어떻게 되나요?,FE,state management,Redux
BE,Recoil의 상태 관리 방식과 구조는 어떻게 되나요?,FE,state management,Recoil
BE,상태 관리 라이브러리 선택 시 고려해야 할 요소는 무엇인가요?,FE,state management,
BE,사이드 이펙트란 무엇인가요?,FE,state management,
BE,"플럭스 패턴이란 무엇이고, 플럭스 패턴을 사용하는 이유와 장점은 무엇인가요?",FE,state management,
BE,서치 엔진 옵티마이제이션(SEO)에 대해서 들어본 적 있으신가요?,FE,SEO,
BE,ESM과 CJS의 차이점에 대해 설명해 주실 수 있나요?,FE,bundler,
BE,트리 쉐이킹(tree shaking)에 대해 설명해 주시겠어요?,FE,tree shaking,
etc,"개발 Git flow와 branch 정책, 배포 과정에 대해 설명해 주실 수 있나요?","BE, FE",git,
etc,Git의 cherry-pick 기능에 대해 알고 계신가요?,"BE, FE",git,
BE,프론트엔드 개발자와 소통하면서 어려웠던 경험이 있으시면 말씀해 주시겠어요?,BE,softskill,
BE,"프론트엔드 개발자와의 API 통신에서는 Swagger를 사용하시나요, 아니면 Postman 같은 다른 도구를 사용하시나요?",BE,softskill,
BE,개발하실 때 GPT나 Copilot을 어느 정도 사용하시나요?,"BE, FE",softskill,
BE,프레임워크와 라이브러리의 차이점에 대해 설명해 주실 수 있나요?,"BE, FE",Basic,
BE,Spring과 Spring Boot의 차이점은 무엇인가요?,BE,Spring,
BE,"자바에서 인터페이스(interface)를 사용하는 이유는 무엇인가요? 인터페이스를 사용하지 않고도 코드를 쉽게 작성할 수 있는데, 왜 인터페이스를 선언해야 할까요?",BE,OOP,
BE,실제 개발에서 객체 지향적(OOP)으로 접근하거나 디자인 패턴(design pattern)을 적용한 사례가 있나요?,BE,OOP,
BE,지금까지 진행했던 업무 중 엔지니어링적으로 가치가 있었던 프로젝트에 대해 하나 소개해 주실 수 있나요?,"BE, FE",Basic,
BE,증분 백업(incremental backup) 방식의 리스크와 이를 보완하기 위한 방법에 대해 설명해 주실 수 있나요?,BE,DB,backup
BE,"퍼블릭 콜을 받는 서비스에서, 외부 서비스 API, 내부 서비스, DB 요청을 조합하는 API의 레이턴시(latency)가 1초가량 걸릴 때, 이 응답 시간을 개선하기 위한 접근 방법은 무엇인가요?",BE,Architecture,Performance Optimization
BE,"계층형 아키텍처로 구현된 서비스에서, 외부 서비스 교체와 DB를 MongoDB에서 MySQL로 마이그레이션할 때, 어떤 방식으로 접근하는 것이 좋을까요?",BE,DB,
BE,"캐싱 처리 시 고려해야 할 사항과 작업 순서, 그리고 캐싱 외에 문제를 해결할 수 있는 다른 방법들에 대해 상세히 설명해 주실 수 있나요?",BE,cache,
BE,트랜잭션(transaction)을 메소드 단위로 거는 것과 클래스 단위로 거는 것의 차이점은 무엇인가요? 그리고 트랜잭션 문제를 기술적으로 해결한 경험이 있나요?,BE,transaction,
BE,캐싱(caching)을 도입할 때 어떤 부분을 특히 신경 써야 하나요?,BE,cache,
BE,"외부 서비스, 내부 서비스, 그리고 DB에서 데이터를 받아 응답을 조합하는 API에서 캐싱(caching)을 도입할 때, 어떤 부분에 캐싱을 적용하면 좋을까요? 또한 캐싱 적용 시 발생할 수 있는 리스크는 무엇이며, 이를 해결하기 위해 어떤 점을 고민해야 할까요?",BE,cache,
FE,SPA 프레임워크(SPA framework)를 사용해본 경험에 대해 자세히 설명해 주실 수 있나요?,FE,SPA,
FE,"싱글 페이지 애플리케이션(SPA)을 구현할 때 필요한 요소들, 예를 들어 서비스 워커(service worker) 등의 사용 경험이 있으신가요?",FE,SPA,
FE,디자인 시스템(design system)을 사용해본 경험이 있으신가요?,FE,Design System,
FE,본인의 업무를 자동화(automation)해본 경험이 있으신가요?,"BE, FE",Basic,
FE,Next.js의 단점은 무엇이라고 생각하시나요?,FE,next.js,
FE,MPA(Multi-Page Application)에 대해 들어보셨나요?,FE,MPA,
FE,CHAT GPT API를 사용할 때 발생하는 비용 이슈를 어떻게 개선하려고 했나요?,BE,Architecture,Cost Optimization
FE,AWS ECS를 통한 배포와 다른 배포 방식을 비용 관리 측면에서 비교해본 적이 있나요?,BE,Architecture,Cost Optimization
FE,"프론트엔드 서비스를 기준으로 했을 때, ECS를 사용한 비용이 한 달에 어느 정도 나오는지 확인해본 적이 있나요?",FE,Architecture,Cost Optimization
FE,Redis를 구현할 때 가장 어려웠던 점은 무엇이었나요?,BE,cache,Redis
etc,"Chat GPT를 업무에 사용할 때, 어떻게 활용하면 더 높은 생산성을 얻을 수 있을까요?","BE, FE",ai,
etc,Chat GPT를 사용할 때 가장 주의해야 할 점은 무엇인가요?,"BE, FE",ai,
FE,프론트엔드 단에서 테스트 코드를 구현해본 경험이 있으신가요?,FE,testing,
FE,"테스트 코드 작성 시, 클린 아키텍처로 구현된 비즈니스 로직은 검증이 비교적 쉽지만, UI 테스트도 해본 경험이 있으신가요?",FE,testing,
FE,"반응형 웹으로 모바일 웹을 개발하고, 이를 모바일 애플리케이션으로 포팅하여 런칭할 때 프론트엔드 측면에서 가장 중요한 요소는 무엇이라고 생각하시나요?",FE,mobile,
FE,모바일 브라우저에서 가장 중요한 요소는 무엇인가요?,FE,mobile,
FE,"주니어에서 시니어로 성장하면서 중요한 작업 중 하나는 설계 문서 작성입니다. 코드를 작성하기 전에 설계 문서를 작성하거나, 후행으로 작성하는 경우가 있는데, 설계 문서를 작성해본 경험이 있으신가요?",BE,Architecture,
FE,"설계 문서를 작성할 때, 내부 개발자 간 인수인계를 위한 목적으로 작성해본 적이 있으신가요?",BE,Architecture,
FE,"프론트엔드 개발 시, React가 아닌 HTML, CSS, 바닐라 자바스크립트로만 프로젝트를 만들어본 경험이 있으신가요?",FE,Basic,
etc,"제품을 개발할 때, 사용성을 고려한 개발 사례가 있나요?","BE, FE",UI/UX,
etc,협업 시 신뢰를 주거나 믿음을 형성하는 본인만의 노하우나 습관이 있나요?,"BE, FE",softskill,
etc,"유저가 더 편리할 것이라고 설득할 때, 추가 기능 개발에 대한 근거로 무엇을 사용하나요?","BE, FE",UI/UX,
etc,유저 리서치(user research)를 진행해본 적이 있나요?,"BE, FE",UI/UX,
BE,아키텍처를 설계할 때 가장 중점적으로 고려하는 원칙은 무엇인가요?,"BE, FE",Architecture,
etc,"초기 MVP 구성 시, 너무 많은 클래스를 작성하는 것이 불필요한 코드 작성 시간이나 복잡성을 유발할 수 있다는 의견에 대해 어떻게 반박하시겠습니까?","BE, FE",Basic,검토필요
BE,루비 온 레일즈(Ruby on Rails)를 사용하면서 클린 아키텍처(Clean Architecture)를 도입할 때 어떤 어려움이 있을까요?,BE,Architecture,Clean architecture
BE,확장성 있는 웹 서비스를 구성할 때 고려해야 할 점은 무엇인가요? 서비스 분리 시 기준이 되는 지점은 무엇인가요?,BE,Architecture,
BE,"웹 서버를 분리해야 하는 시점은 언제이며, 그 시점에서 점진적으로 서버를 분리해 나가는 방법은 무엇인가요?",BE,Architecture,
BE,"메시지 서비스에서 기존 서비스와 새로운 서비스에 모두 메시지를 보내는 투트랙 운영 시, 새로운 서비스의 안정성이 검증되었는지 어떻게 판단할 수 있을까요?",BE,message queue,
BE,"ECS와 Fargate를 선택한 이유는 무엇인가요? 다른 배포 방식들(EKS, Docker, Nomad, Jenkins 등)도 있는 상황에서, 왜 이 두 가지를 사용했나요?",BE,AWS,
BE,이미지 스냅샷(AMI)으로 배포하는 것과 컨테이너라이징(containerizing)으로 배포하는 것의 차이는 무엇인가요?,BE,AWS,
BE,"3600만 명의 사용자를 보유한 SNS 피드 서비스에서, 3~10메가바이트 크기의 이미지 업로드 기능으로 인해 저장 공간이 급격히 증가하고 비용이 상승하는 문제를 개선하려면 어떤 접근 방법을 사용할 수 있을까요?",BE,Architecture,
BE,"파티셔닝(partitioning)과 샤딩(sharding)을 도입할 때, 각각을 어떻게 활용할 수 있을지 설명해 주실 수 있나요?",BE,DB,
BE,데이터 웨어하우스(Data Warehouse)의 개념을 설명해 주실 수 있나요?,BE,DB,
BE,"이커머스 서비스에서  많은 상품이 추가되고, 카테고리나 인기 여부 등 다양한 옵션들이 추가되면서 발생하는 검색 성능 저하 문제를 어떻게 개선할 수 있을까요? (DB는 현재 RDBMS를 사용 중입니다.)",BE,DB,domain_ eCommerce
etc,애자일 프로세스(Agile Process)를 경험해본 적이 있으신가요? 있다면 그 경험에 대해 설명해 주실 수 있나요?,"BE, FE",softskill,
BE,IO 병목현상을 발견하기 위해 모니터링하거나 개선해야 할 지표는 무엇인가요?,BE,monitoring,
BE,파일 전송속도를 모니터링 하는 방법과 그 지표에 대해 설명해주세요.,BE,monitoring,
BE,웹 서버의 역할에 대해 설명해 주실 수 있나요?,BE,Basic,
BE,"웹 서버와 서블릿 컨테이너의 역할을 합친 WAS에서, 웹 서버의 역할에 대해 설명해 주실 수 있나요?",BE,java,
BE,웹 서버에서 아파치와 Nginx의 차이에 대해 설명해 주실 수 있나요?,BE,Basic,
BE,아파치 웹 서버의 여러 모듈 간 차이에 대해 설명해 주실 수 있나요?,BE,Basic,
BE,"로드 밸런서, 프록시, 리버스 프록시의 역할과 그 차이에 대해 설명해 주실 수 있나요?",BE,Basic,
BE,리버스 프록시와 로드 밸런서의 차이에 대해 설명해 주실 수 있나요?,BE,Basic,
BE,"웹 서버가 동시에 몇 개의 클라이언트로부터 요청을 받을 수 있는지, 그리고 커넥션이 얼마나 형성될 수 있는지 추론해 주실 수 있나요?",BE,Basic,
BE,"단일 서버에서 CPU 바운드 작업이 아닌 단순 요청 처리 시, 즉 CPU의 점유율에는 큰 이상이 없다면 웹 서버가 동시에 몇 개의 클라이언트로부터 요청을 받을 수 있으며, 몇 개의 커넥션이 형성될 수 있을지 추론할 수 있나요?",BE,Basic,
BE,브라우저에서 웹 서버로 요청을 보낼 때의 과정에 대해 설명해 주실 수 있나요?,BE,Basic,
BE,"TCP 3-way-handshake와 4-way-handshake를 소켓과 연결지어, 커넥션이 수립되었다는 개념에 대해 설명해 주실 수 있나요?","BE, FE",TCP,
BE,"스프링 프레임워크의 3대 핵심 기술이 무엇인지 설명해 주시고, 그중에서 가장 자신 있는 하나를 선택해 설명해 주실 수 있나요?",BE,Spring,
BE,스프링 컨테이너가 빈을 어떻게 관리하는지 설명해 주실 수 있나요?,BE,Spring,
BE,"싱글톤 방식으로 빈 객체가 하나만 생성되어 재사용될 때, 여러 사용자가 접근하는 경우 요청 간에 영향을 받지 않도록 어떻게 관리되나요?",BE,Spring,
BE,"모놀리틱 아키텍처에서 멀티 모듈 아키텍처로 전환할 때 발생할 수 있는 문제는 무엇이며, 이를 어떻게 개선할 수 있나요?",BE,Architecture,MSA
BE,"외국 IP를 차단하기 위해 WAF를 사용하지 않는 경우, 다른 방법으로 외국 IP를 차단할 수 있는 방법에는 어떤 것들이 있나요?",BE,security,WAF
BE,멀티 모듈 구조에서 서비스를 한 번에 배포하기 위해 사용할 수 있는 도커 외의 대안은 무엇이 있을까요?,BE,Container,
BE,"S3로 관리할 때의 단점은 무엇이며, 파라미터 스토어 외에 고려할 수 있는 다른 대안은 무엇인가요?",BE,AWS,S3
etc,"학습 역량을 강화하기 위한 방법이나, 기술 경향을 따라잡기 위한 본인만의 노력에 대해 설명해 주실 수 있나요?","BE, FE",softskill,
BE,AWS 컴포넌트 중에서 가장 잘 알고 있다고 생각하는 것은 무엇인가요?,BE,AWS,
BE,"EC2 인스턴스에서 서버 용량을 처음에 8GB로 설정한 후, 서버를 끄지 않고 용량을 늘리려면 어떻게 해야 하나요?",BE,AWS,
BE,EC2 인스턴스를 한 대를 띄우려고 할 때 어떤 것들이 먼저 세팅이 되어 있어야 되고 이 ec2를 띄우게 되면 어떤 것들이 같이 띄워지나요?,BE,AWS,
BE,"NAT 게이트웨이 또는 인터넷 게이트웨이 외에, 외부 서버나 브라우저와 통신할 수 있는 다른 방법은 무엇인가요?",BE,Network,
FE,동적으로 사이트맵을 생성하는 기능이 어떻게 동작하는지 설명해 주실 수 있나요?,FE,Basic,
,동등성과 동일성의 차이에 대해 설명해주세요.,"BE, FE",Basic,
,"세션에 대해서 설명하고, 서버가 여러대일 때 세션을 어떻게 처리하는지 설명해주세요.",BE,Session,
,서블릿의 개념에 대해 설명해주세요.,BE,Servlet,
,데이터베이스의 인덱스가 내부적으로 어떤 알고리즘을 쓰는지 설명해주세요.,BE,DB,
,데이터베이스에서 데이터 타입마다 어떤 인덱스 알고리즘을 사용하는지 설명해주세요.,BE,DB,
,"캐싱 기능을 사용할 때, redis를 사용하는 이유에 대해 설명해주세요.",BE,cache,Redis
,캐시가 무엇인가요? redis 같은 걸 캐싱 서버로 사용해보신적 있으신가요?,BE,cache,
,Call by value와 Call by reference 차이에 대해 설명해주세요.,"BE, FE",Basic,
,nginx가 어떤 방식으로 로드밸런싱을 하는지 설명해주세요.,BE,load balancer,
,경험해본 프로젝트의 배포 구조에 대해 설명해주세요.,"BE, FE",Basic,
etc,클린 코드가 뭐라고 생각하시나요?,BE,Clean Code,
,Database의 부하와 Application의 부하를 어떤 기준으로 나눌 수 있을까요?,BE,Basic,
FE,Deep Copy와 Shallow Copy에 대해 설명해주세요.,"BE, FE",Basic,
,OAuth 의 흐름에 대해 설명해주세요.,"BE, FE",OAuth,
,객체를 나누는 기준이 무엇인가요?,"BE, FE",Basic,
,"커밋 컨벤션에서 `feat`, `chore`, `refactor` 등을 각각 어떤 기준으로 나누어 사용하는지 설명해 주실 수 있나요?","BE, FE",git,
,OOP(Object-Oriented Programming)이 무엇인지 설명해 주실 수 있나요?,BE,OOP,
,OOP를 사용했을 때의 장점과 단점은 무엇인가요?,BE,OOP,
,Test 코드를 작성해야 하는 이유는 무엇인가요?,"BE, FE",testing,
,Mock을 사용하는 이유는 무엇인가요?,"BE, FE",testing,
,사전에서 검색을 제공하는 Application을 만들건데 어떤 자료구조를 쓰실 건가요?,"BE, FE",Basic,
etc,기억에 남는 프로젝트와 어떤 점에서 기억에 남는 지 설명해주세요.,"BE, FE",Basic,
algorithm,트리 구조에 대해 설명 해주세요.,"BE, FE",Basic,
algorithm,이진 트리에 대해 설명 해주세요.,"BE, FE",Basic,
algorithm,Binary Search Tree에 대해 설명해주세요.,"BE, FE",Basic,
,브라우저에서 서버의 응답을 받을 때까지의 흐름을 설명해 주실 수 있나요?,"BE, FE",Basic,
,CI/CD 에 대해 각각 설명해주세요.,"BE, FE",CI/CD,
,DTO(Data Transfer Object)가 무엇인지 설명해 주실 수 있나요?,BE,DTO,
,"Presentation, Application, Domain Layer를 나누는 기준은 무엇인가요?",BE,Architecture,Layered Architecture
,DB Optimizer가 무엇인지 설명해 주실 수 있나요?,BE,DB,
algorithm,알고 있는 정렬 알고리즘을 설명해 주실 수 있나요?,"BE, FE",Algorithm,
,프로세스와 쓰레드의 차이점은 무엇인가요?,"BE, FE",OS,
,PCB(Process Control Block)에 저장되는 정보에는 어떤 것들이 있나요?,"BE, FE",OS,
,Context Switching에 대해 설명해 주실 수 있나요?,"BE, FE",OS,
,TCP 와 UDP의 차이점에 대해 설명해 주세요.,"BE, FE",Network,
,프로젝트에서 단위 테스트와 통합 테스트를 각각 어떻게 진행하셨는지 설명해 주실 수 있나요?,"BE, FE",testing,
,"알고 계신 테스트의 종류에 대해 설명해 주실 수 있나요? (예: 유닛 테스트, 통합 테스트 등)","BE, FE",testing,
,OOP를 지향하기 위해 어떤 노력을 할 수 있나요?,BE,OOP,
,"Layered Architecture에서 Presentation, Application, Domain, Infrastructure Layer의 역할에 대해 설명해 주실 수 있나요?",BE,Architecture,Layered Architecture
,DDD(Domain-Driven Design)에 대해 알고 있거나 공부해 본 경험이 있나요?,BE,DDD,
,DDD에서 Domain이 무엇인지 설명해 주실 수 있나요?,BE,DDD,
,CQRS와 이벤트 소싱에 대해 알고 있는지 설명해 주실 수 있나요?,BE,CQRS,
,최근에 진행한 프로젝트의 패키지 구조나 선호하는 패키지 구조에 대해 설명해 주실 수 있나요?,"BE, FE",Basic,
,"Connection Pool을 사용하는 이유와, 단순히 커넥션을 새로 만드는 것과의 차이는 무엇인가요?",BE,DB,
,Connection을 만드는 시간을 제외하고 Connection Pool을 사용하는 다른 장점은 무엇인가요?,BE,DB,
,"Connection Pool의 최대치가 1000개이고 WAS가 5개인 경우, 각 WAS는 200개씩의 Connection을 가지게 되나요? 그리고 6번째 WAS가 추가되면 Connection이 할당되지 않나요?",BE,DB,
,SOLID 원칙 중 하나를 설명해 주실 수 있나요?,BE,OOP,
algorithm,재귀 함수의 장점과 단점은 무엇인가요?,"BE, FE",Basic,
,동기(Synchronous)와 비동기(Asynchronous)의 차이는 무엇인가요?,"BE, FE",Basic,
,MyISAM과 InnoDB의 차이점은 무엇인가요?,BE,DB,
,단방향 암호화의 장점은 무엇인가요?,BE,security,
,GET과 POST의 차이는 무엇인가요?,BE,http,
,HTTP와 HTTPS의 차이는 무엇인가요?,"BE, FE",Basic,
보안,XSS(Cross-Site Scripting)에 대해 설명해 주실 수 있나요?,FE,security,
보안,XSS(Cross-Site Scripting)를 방지하기 위한 방법은 무엇인가요?,FE,security,
,인증 토큰 방식과 세션 기반 인증 방식의 차이점은 무엇인가요?,"BE, FE",security,
DB,데이터베이스에서 왜 여러 테이블을 두는지 설명해 주실 수 있나요?,BE,DB,
DB,Inner Join과 Outer Join의 차이에 대해 설명해 주실 수 있나요?,BE,DB,
,코드 스멜을 느끼게 되는 기준은 무엇인가요?,"BE, FE",softskill,
,알고 있는 무중단 배포 방법에 대해 설명해 주실 수 있나요?,BE,zero-downtime deployment,
,쿠키에 대해서 설명해주세요.,"BE, FE",security,
,로컬 스토리지(Local Storage)에 대해 설명해 주실 수 있나요?,FE,Local Storage,
,Blue-Green 배포에 대해 설명해 주실 수 있나요?,BE,zero-downtime deployment,
,프론트엔드와 API 서버 간의 통신 방식과 구현 방법에 대해 설명해 주실 수 있나요?,BE,API,
,각 HTTP Method에 대해 설명해 주실 수 있나요?,"BE, FE",http,
,PUT 메서드는 업데이트에만 사용되나요?,"BE, FE",http,
,CLOSE_WAIT와 TIME_WAIT 상태에 대해 설명해 주실 수 있나요?,"BE, FE",TCP,
,순간적으로 트래픽이 높아질 수 있는 이벤트 상황에서 아키텍처적으로 어떻게 설계할지 설명해 주실 수 있나요?,BE,traffic,
,Web Server와 WAS의 차이점과 각각의 역할에 대해 설명해 주실 수 있나요?,BE,Basic,
,"사용할 수 있는, 사용해본 프로그래밍 언어는 어떤 것들이 있는지? 각각 어느정도의 수준인지?","BE, FE",Basic,
,"WebSocket을 사용할 때 기본 프로토콜을 사용했는지, 아니면 직접 구현한 프로토콜을 사용했는지 설명해 주실 수 있나요?","BE, FE",websocket,
,Reactive Programming과 Observable에 대해 설명해 주실 수 있나요?,BE,Architecture,Reactive Programming
,Reactive Programming과 함수형 프로그래밍의 차이점과 각각의 특징에 대해 설명해 주실 수 있나요?,BE,Architecture,Reactive Programming
,정적 타이핑 언어와 동적 타이핑 언어의 장단점에 대해 설명해 주실 수 있나요?,"BE, FE",Basic,
,HTTP를 제외하고 알고 있는 다른 프로토콜에 대해 설명해 주실 수 있나요?,"BE, FE",Network,
,List의 장점을 Array와 비교하여 설명해 주실 수 있나요?,"BE, FE",Algorithm,
,테스트가 무엇인가요?,"BE, FE",testing,
,테스트는 왜 작성해야하나요?,"BE, FE",testing,
,리팩토링은 어느 시점에 해야할까요?,"BE, FE",refactoring,
,유연한 코드는 무엇인가요?,"BE, FE",refactoring,
,본인만의 리팩토링에 대한 정의를 설명해 주실 수 있나요?,"BE, FE",refactoring,
,응집도와 결합도의 차이에 대해 설명해 주실 수 있나요?,"BE, FE",coupling,
,응집도와 결합도의 차이에 대해 설명해 주실 수 있나요?,"BE, FE",cohension,
,테스트하기 쉬운 코드는 어떤 코드인가요?,"BE, FE",testing,
Spirng,Spring에서 DI(Dependency Injection)와 IoC(Inversion of Control) 개념을 설명해 주실 수 있나요?,BE,Spring,
,"Spring에서 `Service`, `Controller`, `Repository` 애노테이션의 차이점은 무엇인가요?",BE,Spring,
,`Controller`와 `RestController`의 차이점과 이들 간의 응답 방식 차이에 대해 설명해 주실 수 있나요?,BE,Spring,
,Spring에서 `Service`와 `Component`의 차이점은 무엇인가요?,BE,Spring,
,"`Controller`와 `RestController`의 차이점은 무엇이며, 응답 방식이 어떻게 다른가요?",BE,Spring,
,Spring에서 `Service`와 `Component`의 차이는 무엇인가요?,BE,Spring,
,IoC 컨테이너를 직접 만든다면 어떻게 구현할 계획인가요?,BE,Spring,IoC
,Spring에서 빈을 등록하는 방법에 대해 설명해 주실 수 있나요?,BE,Spring,
,Spring MVC에 대해 설명해 주실 수 있나요?,BE,Spring,
,Spring MVC에서 요청이 들어온 후 응답이 나갈 때까지의 흐름에 대해 설명해 주실 수 있나요?,BE,Spring,
,ControllerAdvice가 무엇인지 설명해 주실 수 있나요?,BE,Spring,
,Interceptor와 Filter의 차이점은 무엇인가요?,BE,Spring,
,"Field 주입, 생성자 주입, Setter 주입의 차이점에 대해 설명해 주실 수 있나요?",BE,Basic,
,Spring Web MVC에서 요청이 들어와서 Database에 도달하는 전체 흐름을 설명해 주실 수 있나요?,BE,Spring,
,AOP(Aspect-Oriented Programming)에 대해 설명해 주실 수 있나요?,BE,Spring,AOP
,SpringBoot의 장점은 무엇인가요?,BE,Spring,
,"ManyToOne을 사용한 이유는 무엇이며, 반대쪽에서 OneToMany를 사용할 수도 있지 않나요?",BE,DB,
,ORM를 사용하는 이유와 그 장점은 무엇인가요? ORM이 나오게 된 배경도 설명해 주실 수 있나요?,BE,DB,orm
,Hibernate가 무엇인지 설명해 주실 수 있나요?,BE,DB,orm
,Open Session In View 패턴에 대해 설명해 주실 수 있나요?,BE,DB,orm
,ORM를 사용할 때와 직접 SQL을 사용할 때의 차이점은 무엇인가요?,BE,DB,orm
,@Transactional의 동작 과정에 대해 설명해 주실 수 있나요?,BE,Spring,transaction
,JPA의 FetchType에 대해 설명해 주실 수 있나요?,BE,Spring,JPA
,LAZY와 EAGER 로딩 방식을 각각 어떤 기준으로 사용하시는지 설명해 주실 수 있나요?,BE,Spring,JPA
,N+1 문제에 대해 설명해 주실 수 있나요?,BE,DB,orm
,"JPA를 사용하면서 맞닥뜨린 문제가 있다면, 어떤 것이 있었나요?",BE,Spring,JPA
,본인이 생각하기에 데이터베이스에서 칼럼이 많고 적음의 기준은 무엇인가요?,BE,DB,
,JPA에서 Primary Key(PK)는 어떻게 설정하나요?,BE,Spring,JPA
,"객체가 JVM 메모리에 저장될 때, 어느 영역에 저장되나요?",BE,java,
,Stream이 무엇인지 설명해 주실 수 있나요?,BE,java,
,Lombok이 생성하는 메서드는 어느 시점에서 생성되는지 알고 계신가요?,BE,Spring,lombok
,메서드를 분리하는 본인만의 기준이 있나요?,"BE, FE",Basic,
,REST Docs을 사용하는 이유는 무엇인가요?,"BE, FE",Basic,
,StringBuilder와 StringBuffer의 차이점에 대해 설명해 주실 수 있나요?,BE,java,
algorithm,HashMap의 시간 복잡도에 대해 설명해 주실 수 있나요?,BE,java,
,"단어의 일부로 검색할 수 있는 자동완성 기능을 구현할 때, a로 시작하는 단어 5개, ap로 시작하는 단어 상위 5개를 찾는 기능을 어떻게 구현할 수 있나요?","BE, FE",Algorithm,
,Enum과 추상 클래스를 각각 어떤 식으로 사용했는지 설명해 주실 수 있나요?,BE,java,
,Domain이 무엇인지 설명해 주실 수 있나요?,BE,Basic,
,아는 자바 디자인 패턴 중 하나를 설명해 주실 수 있나요?,BE,java,
,Checked Exception은 언제 사용하는지 설명해 주실 수 있나요?,BE,java,Exception
,Unchecked Exception과 Checked Exception의 차이점은 무엇인가요?,BE,java,Exception
,Custom Exception을 모두 RuntimeException을 상속하도록 한 특별한 이유가 있나요?,BE,java,Exception
,`equals`와 `hashCode`를 재구현한 이유는 무엇인가요?,BE,java,
,JVM과 GC(Garbage Collection)에 대해 설명해 주실 수 있나요?,BE,java,
,GC(Garbage Collection)가 언제 동작하는지 설명해 주실 수 있나요?,BE,java,
,JUnit의 생명주기에 대해 아는지?,BE,testing,JUnit
,"Java의 세 가지 변수(지역 변수, 인스턴스 변수, 클래스 변수)를 JVM 메모리 구조와 연관지어 설명해 주실 수 있나요?",BE,java,
,Generic을 사용하는 이유는 무엇인가요?,BE,java,
,Generic을 사용하는 이유는 무엇인가요?,BE,Typescript,
,Java에서 동일한 `String`을 새로 만들 때마다 객체가 생성되나요?,BE,java,
,"예를 들어 `String a = ""Apple"";`로 선언한 후, `String b = ""Apple"";`을 선언할 때, `b`를 위한 새로운 공간이 할당되는지, 아닌지 이야기하고 이에 대해 설명해 주실 수 있나요?",BE,java,
,Java에서 람다가 무엇인지 설명해 주실 수 있나요?,BE,java,
